variables
aod
blh
ps
rh
temp
u
v
ndvi
dem
pop
barren
city
farm
green
water
doy
month
aod_ev2
rh_ev2
aod_ev1
ps_ev2
rh_ev1
temp_ev2
aod_ev3
aod_ev6
temp_ev1
aod_ev5
aod_ev8
blh_ev2
blh_ev3
rh_ev3
temp_ev3
blh_ev8
temp_ev8
temp_ev6
blh_ev1
rh_ev6
temp_ev5
dem_ev6
ndvi_ev1
u_ev1
green_ev6
barren_ev4
farm_ev3
city_ev3
v_ev1
pop_ev3
water_ev8
ev1
ev2
ev3
ev4
ev5
ev6
ev7
ev8
